"Species","Location","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Balistapus undulatus","Moorea",0,0.258353225172,1.8294422551972,-3.58860017859268,3.69698040038545
"Balistapus undulatus","Moorea",0.1,0.906517807632194,1.76182702884807,-2.49800923748422,4.59452708350739
"Balistapus undulatus","Moorea",0.2,1.52302336822859,1.74688698719876,-1.54958695472542,5.44461029217477
"Balistapus undulatus","Moorea",0.3,2.10988294935522,1.76926760289784,-0.802573540921832,6.30739485087046
"Balistapus undulatus","Moorea",0.4,2.66895074813766,1.81533538221885,-0.185618939564121,7.08362607240779
"Balistapus undulatus","Moorea",0.5,3.20193685256115,1.87445657433838,0.364527491787358,7.81589061769204
"Balistapus undulatus","Moorea",0.6,3.71042043746157,1.93906016268037,0.865390635637574,8.48970680289016
"Balistapus undulatus","Moorea",0.7,4.1958615964869,2.00409369706715,1.2978494581745,9.15519452258374
"Balistapus undulatus","Moorea",0.8,4.65961196453269,2.06635773108731,1.68272255985788,9.73285385086254
"Balistapus undulatus","Moorea",0.9,5.10292426635657,2.12393632926499,2.05378273155472,10.2939166676681
"Balistapus undulatus","Moorea",1,5.5269609107017,2.1757730508527,2.39899414487155,10.8089889784285
"Balistapus undulatus","Moorea",1.1,5.93280173497926,2.22137512117979,2.71778958517916,11.275105315567
"Balistapus undulatus","Moorea",1.2,6.32145099309513,2.26061337006678,3.02505035498603,11.6987268392521
"Balistapus undulatus","Moorea",1.3,6.69384366811183,2.29358885565691,3.33058602221213,12.0940676420284
"Balistapus undulatus","Moorea",1.4,7.05085118190732,2.32054448177016,3.62364730288375,12.4528509604866
"Balistapus undulatus","Moorea",1.5,7.39328656564536,2.34180658746665,3.90174824207814,12.7686046723897
"Balistapus undulatus","Moorea",1.6,7.72190914755521,2.35774643815891,4.16515283784503,13.0748484481082
"Balistapus undulatus","Moorea",1.7,8.03742880809596,2.36875495149581,4.42985775103773,13.3700253188693
"Balistapus undulatus","Moorea",1.8,8.3405098469383,2.37522625567722,4.68142973115379,13.6482093750036
"Balistapus undulatus","Moorea",1.9,8.63177450123354,2.37754716499229,4.93126757779682,13.887989360531
"Balistapus undulatus","Moorea",2,8.91180615027003,2.37609063156855,5.17505974778496,14.1324591343204
"Balistapus undulatus","Moorea",2.1,9.18115223776541,2.37121187244664,5.4086759233388,14.3504655917912
"Balistapus undulatus","Moorea",2.2,9.44032693964465,2.36324629425472,5.63562907135833,14.5482939102154
"Balistapus undulatus","Moorea",2.3,9.68981360215215,2.35250861958785,5.87037356372297,14.7226131919981
"Balistapus undulatus","Moorea",2.4,9.93006697249181,2.33929280841456,6.09335214471583,14.8899071854035
"Balistapus undulatus","Moorea",2.5,10.1615152418395,2.32387249588813,6.32373644225792,15.0492793293849
"Balistapus undulatus","Moorea",2.6,10.3845619184909,2.30650175525993,6.54050177351159,15.2093662866731
"Balistapus undulatus","Moorea",2.7,10.599587547061,2.2874160545455,6.75274608625795,15.3325386086261
"Balistapus undulatus","Moorea",2.8,10.806951288012,2.26683331700285,6.96022279581009,15.4804181225645
"Balistapus undulatus","Moorea",2.9,11.0069923703301,2.24495502422334,7.16057063058312,15.6149513601136
"Balistapus undulatus","Moorea",3,11.2000314288731,2.22196732065579,7.3611412888548,15.7305520556947
"Balistapus undulatus","Moorea",3.1,11.3863717367593,2.1980420923613,7.55709353278186,15.8442931719554
"Balistapus undulatus","Moorea",3.2,11.5663003421348,2.17333800255792,7.75996315019864,15.9553326178786
"Balistapus undulatus","Moorea",3.3,11.7400891177421,2.14800147332231,7.944876403368,16.055353801071
"Balistapus undulatus","Moorea",3.4,11.9079957308868,2.12216760754402,8.12879877899059,16.1568398440199
"Balistapus undulatus","Moorea",3.5,12.0702645406726,2.09596104848899,8.30229867556698,16.2549129753706
"Balistapus undulatus","Moorea",3.6,12.2271274287096,2.06949677655259,8.4803598705474,16.3306169250685
"Balistapus undulatus","Moorea",3.7,12.3788045689197,2.04288084427248,8.65449891434856,16.4249139497751
"Balistapus undulatus","Moorea",3.8,12.5255051415305,2.01621105164478,8.82998094813115,16.505869587806
"Balistapus undulatus","Moorea",3.9,12.6674279958782,1.98957756439761,9.00002241288667,16.5755234085539
"Balistapus undulatus","Moorea",4,12.8047622662117,1.96306347823379,9.16122705634008,16.6407611244529
"Balistapus undulatus","Moorea",4.1,12.9376879443091,1.93674533223969,9.32042415303677,16.7038263246518
"Balistapus undulatus","Moorea",4.2,13.0663764123739,1.9106935747258,9.4772116541136,16.7674250509844
"Balistapus undulatus","Moorea",4.3,13.1909909393638,1.88497298475781,9.63056037525255,16.8377191402988
"Balistapus undulatus","Moorea",4.4,13.3116871436299,1.85964305258359,9.77884869391974,16.9047555302353
"Balistapus undulatus","Moorea",4.5,13.4286134244868,1.83475832208181,9.9220327856028,16.9529883413048
"Balistapus undulatus","Moorea",4.6,13.5419113651095,1.81036869826629,10.067239231052,17.0050600517857
"Balistapus undulatus","Moorea",4.7,13.651716108942,1.78651972278546,10.2051545845524,17.0624036363733
"Balistapus undulatus","Moorea",4.8,13.7581567116202,1.76325282026472,10.3394219388895,17.119604578401
"Balistapus undulatus","Moorea",4.9,13.8613564702385,1.74060551825366,10.4687634629616,17.1719072631586
"Balistapus undulatus","Moorea",5,13.961433231637,1.71861164346088,10.600465307639,17.2313638552251
"Balistapus undulatus","Moorea",5.1,14.0584996812483,1.69730149688621,10.7189809763087,17.2831165401401
"Balistapus undulatus","Moorea",5.2,14.1526636139132,1.67670201039088,10.8381822304285,17.3320982676963
